14-3-3zeta
LOC112463024
LOC112463029
LOC112463257
LOC112463527
LOC112463707
LOC112463757
LOC112463764
LOC112464164
LOC112464395
LOC112464671
LOC112464801
LOC112464867
LOC112464892
LOC112465029
LOC112465135
LOC112465591
LOC112465857
LOC112465954
LOC112465989
LOC112466129
LOC112466141
LOC112466306
LOC112466317
LOC112466524
LOC112466761
LOC112467010
LOC112467593
LOC112467680
LOC112467684
LOC112467732
LOC112468077
LOC112468351
LOC112469001
LOC114934214
LOC114941598
LOC115240178
LOC115240980
LOC116844871
LOC118644143
LOC126316657
LOC139106356
LOC139767982
LOC139768208
LOC139768336
LOC139768603
LOC139768955
LOC139768956
LOC139769075
LOC139769099
LOC139769491
LOC139769570
LOC139769760
LOC139769916
LOC139770027
LOC139770028
LOC139770097
LOC139770257
LOC139770826
LOC139770864
LOC139771001
LOC139771164
LOC139771411
LOC139772100
LOC139772132
LOC139772141
LOC139772241
LOC139772246
LOC139772250
LOC139772537
LOC139772542
LOC139772954
LOC139772969
LOC139772978
LOC139772994
LOC139773002
LOC139773201
LOC139773258
LOC139773667
LOC139774215
LOC139774384
LOC139775010
LOC139775015
LOC139775596
LOC139775629
LOC139775882
LOC139776076
LOC139776084
LOC139776179
LOC139776352
LOC139776355
LOC139776358
LOC139776359
LOC139776451
LOC139776628
LOC139776657
LOC139777002
LOC139777080
LOC139777152
LOC139777291
LOC139777408
LOC139777475
LOC139777498
LOC139778607
LOC139778626
LOC139778721
LOC139778723
LOC139778724
LOC139778742
LOC139778771
LOC139778983
LOC139778986
LOC139778987
LOC139779139
LOC139779417
LOC139779973
LOC139780097
LOC139780104
LOC139780194
LOC139780351
LOC139780603
LOC139780650
LOC139780679
LOC139780803
LOC139780987
LOC139781145
LOC139781528
LOC139781626
LOC139782118
LOC139782525
LOC139782677
LOC139783187
LOC139783896
LOC139784178
LOC139784369
LOC139784978
LOC139785201
LOC139785778
LOC139786962
LOC139787265
LOC139787433
LOC139808047
LOC139808277
LOC139808381
LOC139808399
LOC139808401
LOC139808598
LOC139808846
LOC139808857
LOC139809212
LOC139809569
LOC139809597
LOC139809698
LOC139810434
LOC139810490
LOC139810554
LOC139810559
LOC139810765
LOC139810766
LOC139810975
LOC139811026
LOC139811044
LOC139811959
LOC139811996
LOC139812275
LOC139812462
LOC139812522
LOC139812650
LOC139812677
LOC139812739
LOC139813058
LOC139813241
LOC139813542
LOC139814525
LOC139814588
LOC139814883
LOC139815028
LOC139815583
LOC139815622
LOC139816036
LOC139816562
LOC139817131
LOC139817292
LOC139817427
LOC139818020
LOC139818085
LOC139818785
LOC139819470
LOC139819478
LOC139819492
LOC139819504
LOC139819522
LOC139819530
LOC139819764
LOC139819791
LOC139819978
LOC139820065
LOC139820216
LOC139820330
LOC139820656
LOC139820664
LOC139821018
LOC139821084
LOC139821780
LOC139822072
LOC139822301
LOC139822484
LOC139822732
LOC139822778
LOC139822898
LOC139822920
LOC139822977
LOC139823122
LOC139823301
LOC139823341
LOC143893163
LOC143893305
LOC143893411
LOC143893903
LOC143894059
LOC143894666
LOC143894730
LOC143895035
LOC143895844
LOC143896291
LOC143896404
LOC143897209
LOC143897384
LOC143897451
LOC143897735
LOC143897757
LOC143897769
LOC143897836
LOC143898036
LOC143898045
LOC143898180
LOC143898610
LOC143899629
LOC143900457
LOC143900518
LOC143901102
LOC143901189
LOC143901223
LOC143901994
LOC143902008
LOC143902204
LOC143902543
LOC143902694
LOC143903281
LOC143903621
LOC143904001
LOC143904942
LOC143904984
LOC143905303
LOC143905326
LOC143905383
LOC143905603
LOC143906266
LOC143906291
LOC143907036
LOC143907062
LOC143907635
LOC143908827
Mask
Mcad
Men
Mesr3
Micu1
Mtd
MTI1
Ndg
Nd-pdsw
Nfat
Ntan1
Nucb1
P23
Pfas
Piezo
Pino
Poldip2
Pp2a-29b
Pp2A-29B
Ppib
Prx5
Pvr
Rab11
Rel
Rols
Rox8
Rpl5
RpL5
Rpn1
Rpn5
Rsf1
Scap
Scu
Sec23
Smr
Sqd
Subdued
Sw
T48
Tm2
Tm9sf3
Tps1
Trxr1
Ubqn
Uck
Ugp
Usp7
Vha100-1
Vha16
Vha55
Vhdl
Wdb
Wwox
Yip2
