sample_name,accession_name,brix_percent,apparent_purity_percent,tiller_number
SRR35113737,yunnan75-II-4,17.09,54.73,12.33333333
SRR35197286,yunnan82-14,12.68,43.44,13
SRR35113736,yunnan82-149,13.82,21.08,8
SRR35197285,guangxitianlin,19.85333333,56.26194762,16.66666667
SRR35113735,guangxi87-14,16.61333333,42.45064406,9.333333333
SRR35197284,guangxi92-16,12.46,18.91841894,11
SRR35113734,hainan92-34,18.7,52.28883,8.333333333
SRR35197283,guangxi87-23,15.36,42.3085612,7
SRR35197282,guangxi87-1,16.07333333,35.90361676,4.333333333
SRR35197281,hainan92-63,15.53333,33.16693,8.666666667
SRR35197280,fujian89-I-17,14.41,35.22,10.66666667
SRR35113733,fujianputian,11.92,25.26,11.66666667
SRR35113732,guangdong-36,16.76,49.38,NA
SRR35197278,guangdonghuanzhou,16.44,28.37,11.66666667
SRR35113731,guizhou78-II-08,16.35,57.25,7.666666667
SRR35113729,hainan92-31,16.23,42.59,6
SRR35113728,guangxi87-25,14.40666667,51.61600648,12.33333333
SRR35197276,fujian87-I-14,12.21,20.97,12.33333333
SRR35113727,hainanyanglan-9,14.86,26.63,7
SRR35197275,yunnanmanhao-1,17.05,49.17,8
SRR35113726,hainanyacheng-1,14.77,36.47,9
SRR35197274,guangdong-28,15.17,30.76,10.33333333
SRR35113725,guangdong-44,18.12,49.7,8.333333333
SRR35197273,yunnan76-III-18,13.52,34.38,11.66666667
SRR35113724,yunnan87-47,12.63,25.33,9
SRR35113723,hainan92-39,12.34,47.53,9
SRR35113722,guangdong-81,16.91,52.91,5.333333333
SRR35113721,Vietnam-3,16.68,27.67,0
SRR35197272,hainan92-66,14.93333,39.03041,6.666666667
SRR35197271,hainan-2,13.79,46.55,8
SRR35197270,hainan92-50,15.39,32.05,8
SRR35197269,yunnan82-110,15.69,53.09,12
SRR35197268,Thailand2003-1,16.08,51.77,11
SRR35197267,hainan92-47,13.79,49.07,7.666666667
SRR34977614,Thailand98T-266,11.49,18.87,5
SRR35197265,fujian89-I-19,12.14,28.47897,13.33333333
SRR34977603,guangxi87-51,16.45333333,41.2657658,6.666666667
SRR35197264,guangxige-3,16.54666667,48.07843272,7.333333333
SRR34977592,guangxi85-13,12.71333333,28.09,7
SRR35197263,guangxi87-53,18.78666667,42.86518275,14.33333333
SRR34977581,guangxi92-1,16.22666667,35.09789852,9.333333333
SRR35197262,guangxi83-25,15.82,42.89,8.333333333
SRR34977685,guangdong-80,16.18,41.88,9
SRR34977570,sichuanzizhong-2,17.73,37.43,9.333333333
SRR35197261,yunnan82-63,12.17,27.37,6.333333333
SRR34977719,yunnan82-65,13.99,29.46,12
SRR35197260,yunnan82-16,15.65,40.09,7
SRR34977708,guangxi87-16,13.65333333,40.54476563,6
SRR35197259,hainan92-32,17.27333,52.75046,7.666666667
SRR35197258,guangxi87-46,10.45333333,9.332018495,5
SRR35197257,guangxi87-21,18.57333333,60.38360912,6.333333333
SRR35197256,sichuan79-II-1,20.98,53.84,9.333333333
