sample_name	ampicillin_RIS	gentamicin_RIS	linezolid_RIS	quinupristin_dalfopristin_RIS	streptomycin_RIS	teicoplanin_RIS	tigecycline_RIS	vancomycin_RIS
1352.10399	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10398	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10397	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10396	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10394	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10424	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10393	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10425	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10427	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10431	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10183	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10432	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10433	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10434	susceptible	NA	NA	NA	NA	NA	NA	resistant
1352.10435	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10436	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10437	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10438	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10439	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.1044	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10441	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10442	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10443	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10444	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10445	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10446	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10447	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10448	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10449	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.1045	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10451	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10452	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10453	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10454	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10455	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.1043	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10429	susceptible	NA	NA	NA	NA	NA	NA	resistant
1352.10428	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10426	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10391	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.1039	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10389	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10355	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10354	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10353	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10352	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10351	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.1035	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10349	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10348	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10347	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10346	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10345	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10344	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10343	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10342	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10341	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.1034	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10339	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10338	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10337	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10336	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10335	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10334	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10333	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10332	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10331	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.1033	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10329	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10328	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10327	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10356	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10357	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10358	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10359	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10388	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10387	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10385	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10384	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10383	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10382	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10381	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.1038	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10378	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10377	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10456	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10376	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10375	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10374	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10325	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10372	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10457	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10458	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10459	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.1046	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10369	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10368	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10367	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10366	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10365	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10364	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10363	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10362	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10361	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.1036	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.1037	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10182	intermediate	NA	NA	NA	NA	NA	NA	susceptible
1352.9904	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.1018	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10009	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10008	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10007	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10006	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10005	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10004	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10003	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10002	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.1	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9905	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9906	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9907	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9908	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9909	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.991	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9911	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9912	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9913	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9914	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9915	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9916	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9918	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9919	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9921	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9922	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9923	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9925	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9926	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9927	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.1001	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9928	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10011	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10013	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10044	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10043	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10042	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.1004	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10039	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10038	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10037	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10036	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10035	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10034	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10033	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10032	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10031	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.1003	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10029	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10028	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10027	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10026	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10025	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10024	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10023	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10022	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.1002	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10019	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10018	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10017	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10016	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10015	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10014	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10012	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9929	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.993	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9931	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9903	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9999	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9998	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9997	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9996	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9995	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9994	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9993	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9991	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.999	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9989	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9988	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9987	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9986	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9985	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9984	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9983	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9982	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9981	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9979	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9978	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9977	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9976	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9975	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9974	resistant	NA	NA	NA	NA	NA	NA	resistant
