sample_name	cleaned_host
SRR29377864	turkey
SRR29377865	cattle
SRR29377866	cattle
SRR29377867	cattle
SRR29377868	cattle
SRR29377869	cattle
SRR29377870	cattle
SRR29377871	cattle
SRR29377872	chicken
SRR29377873	cattle
SRR29377874	cattle
SRR29377875	cattle
SRR29377876	cattle
SRR29377877	cattle
SRR29377878	cattle
SRR29377879	chicken
SRR29377880	chicken
SRR29377881	turkey
SRR29377882	turkey
SRR29377883	chicken
SRR29377884	turkey
SRR29377885	cattle
SRR29377886	cattle
SRR29377887	cattle
SRR29377888	cattle
SRR29377889	cattle
SRR29377890	cattle
SRR29377891	cattle
SRR29377892	cat
SRR29377893	cat
SRR29377894	chicken
SRR29377895	cattle
SRR29377896	cattle
SRR29377897	cattle
SRR29377898	cattle
SRR29377899	cattle
SRR29377900	cattle
SRR29377901	cattle
SRR29377902	cattle
SRR29377903	cattle
SRR29377904	cattle
SRR29377905	chicken
SRR29377906	cattle
SRR29377907	cattle
SRR29377908	cattle
SRR29377909	cattle
SRR29377910	cattle
SRR29377911	cattle
SRR29377912	cattle
SRR29377913	cattle
SRR29377914	cattle
SRR29377915	cattle
SRR29377916	chicken
SRR29377917	chicken
SRR28912777	cattle
SRR28912778	cattle
SRR28912779	turkey
SRR28912780	chicken
SRR28912781	chicken
SRR28912782	chicken
SRR28912783	cattle
SRR28912784	cattle
SRR28912785	cattle
SRR28912786	cattle
SRR28912787	cattle
SRR28912788	cattle
SRR28912789	turkey
SRR28912790	turkey
SRR28912791	chicken
SRR28912792	domestic-cat
SRR28912793	chicken
SRR28912794	chicken
SRR28912795	cattle
SRR28912796	chicken
SRR28912797	chicken
SRR28912798	cattle
SRR28912799	chicken
SRR28912800	chicken
SRR28912801	cattle
SRR28912802	cattle
SRR28912803	cattle
SRR28912804	cattle
SRR28912805	cattle
SRR28912806	cattle
SRR28912807	cattle
SRR28912808	cattle
SRR28912809	cattle
SRR28912810	cattle
SRR28912811	cattle
SRR28912812	cattle
SRR28912813	cattle
SRR28912814	cattle
SRR28912815	cattle
SRR28912816	cattle
SRR28912817	domestic-cat
SRR28912818	domestic-cat
SRR28912819	domestic-cat
SRR28912820	raccoon
SRR28912821	raccoon
SRR28912822	cattle
SRR28912823	cattle
SRR28912824	cattle
SRR28912825	cattle
SRR28912826	cattle
SRR28912827	cattle
SRR28912828	cattle
SRR28912829	cattle
SRR28912830	cattle
SRR28912831	cattle
SRR28912832	turkey
SRR28912833	turkey
SRR28912834	turkey
SRR28912835	cattle
SRR28912836	turkey
SRR28912837	turkey
SRR28912838	turkey
SRR28912839	chicken
SRR28912840	cattle
SRR28912841	cattle
SRR28912842	cattle
SRR28912843	cattle
SRR28912844	cattle
SRR28912845	cattle
SRR28912846	cattle
SRR28912847	cattle
SRR28912848	cattle
SRR28912849	cattle
SRR28912850	cattle
SRR28912851	cattle
SRR28912852	cattle
SRR28912853	cattle
SRR28912854	cattle
SRR28912855	cattle
SRR28912856	cattle
SRR28912857	cattle
SRR28912858	domestic-cat
SRR29281427	cattle
SRR29281428	cattle
SRR29281429	cattle
SRR29281430	cattle
SRR29281431	cattle
SRR29281432	cattle
SRR29281433	cattle
SRR29281434	cattle
SRR29281435	cattle
SRR29281436	feline
SRR29281437	cattle
SRR29281438	cattle
SRR29281439	cattle
SRR29281440	cattle
SRR29281441	cattle
SRR29281442	cattle
SRR29281443	cattle
SRR29281444	cattle
SRR29281445	feline
SRR29281446	chicken
SRR29281447	chicken
SRR29281448	cattle
SRR29281449	cattle
SRR29281450	cattle
SRR29281451	cattle
SRR29281452	cattle
SRR29281453	cattle
SRR29281454	cattle
SRR29281455	cattle
SRR29281456	cattle
SRR29281457	cattle
SRR29281458	cattle
SRR29281459	cattle
SRR29281460	cattle
SRR29281461	cattle
SRR29281462	cattle
SRR29281463	cattle
SRR29281464	cattle
SRR29281465	cattle
SRR29281466	cattle
SRR29281467	cattle
SRR29281468	cattle
SRR29281469	cattle
SRR29281470	cattle
SRR29281471	cattle
SRR29281472	turkey
SRR29455576	cattle
SRR29455578	cattle
SRR29455582	cattle
SRR29455591	cattle
SRR29455592	cattle
SRR29455593	cat
SRR29455597	cattle
SRR29455598	cattle
SRR29455599	cattle
SRR29455600	cattle
SRR29455603	cattle
SRR29455604	cattle
SRR29455606	cattle
SRR29455610	cattle
SRR29455611	cattle
SRR29455615	cattle
SRR29455616	cattle
SRR29455621	cattle
SRR29455628	cattle
SRR29455631	cattle
SRR29455633	cattle
SRR29455640	cattle
SRR29455641	cattle
SRR29455645	cattle
SRR29455646	alpaca
SRR29455647	alpaca
SRR29455581	cattle
SRR29455583	cattle
SRR29455584	cattle
SRR29455585	cattle
SRR29455586	cattle
SRR29455587	cattle
SRR29455588	cattle
SRR29455589	cattle
SRR29455590	cattle
SRR29455612	cattle
SRR29455613	cattle
SRR29455614	cattle
SRR29455627	cattle
SRR29455634	cattle
SRR29455642	cattle
SRR29455643	cattle
SRR29182377	chicken
SRR29182378	chicken
SRR29182379	chicken
SRR29182380	cattle
SRR29182381	cattle
SRR29182382	cattle
SRR29182383	cattle
SRR29182384	goose
SRR29182385	cattle
SRR29182386	cattle
SRR29182387	cattle
SRR29182388	cattle
SRR29182389	cattle
SRR29182390	cattle
SRR29182391	cattle
SRR29182392	cattle
SRR29182393	cattle
SRR29182394	chicken
SRR29182395	chicken
SRR28834894	cattle
SRR28834895	domestic cat
SRR28834896	domestic cat
SRR28834897	goat
SRR28834898	western sandpiper
SRR28834912	skunk
SRR28834913	mute swan
SRR28834914	mountain lion
SRR28834915	duck
SRR28834916	chicken
SRR28834917	canada goose
SRR28834918	chicken
SRR28834919	chicken
SRR28834920	american crow
SRR28834921	chicken
SRR28834922	chicken
SRR28834923	chicken
SRR28834924	turkey
SRR28834925	turkey
SRR28834931	canada goose
SRR28834933	red tailed hawk
SRR28834934	skunk
SRR28834935	bald eagle
SRR28834936	skunk
SRR28834937	snow goose
SRR28834938	chicken
SRR28834939	turkey vulture
SRR28834940	snow goose
SRR28834941	common raven
SRR28834942	turkey
SRR28834943	turkey
SRR28834953	goat
SRR28834954	goat
SRR28834955	goat
SRR28834956	goat
SRR28834957	goat
SRR28834958	goat
SRR28834959	goat
SRR28834960	goat
SRR28834961	turkey
SRR28834962	chicken
SRR28834963	harris hawk
SRR28834964	red tailed hawk
SRR28834850	cattle
SRR28834851	cattle
SRR28834852	cattle
SRR28834853	cattle
SRR28834854	cattle
SRR28834855	pigeon
SRR28834884	chicken
SRR28834885	mountain lion
SRR28834886	canada goose
SRR28834887	cattle
SRR28834888	cattle
SRR28834889	cattle
SRR28834890	cattle
SRR28834891	cattle
SRR28834892	cattle
SRR28834893	cattle
SRR28834899	goat
SRR28834900	mallard
SRR28834901	american crow
SRR28834902	ganada goose
SRR28834903	great horned owl
SRR28834904	bald eagle
SRR28834905	red tailed hawk
SRR28834906	skunk
SRR28834907	skunk
SRR28834908	skunk
SRR28834909	american crow
SRR28834910	skunk
SRR28834911	skunk
SRR28834926	turkey
SRR28834927	turkey
SRR28834928	turkey
SRR28834929	snow goose
SRR28834930	domestic cat
SRR28834944	chicken
SRR28834945	chicken
SRR28834946	turkey
SRR28834947	goat
SRR28834948	goat
SRR28834949	goat
SRR28834950	goat
SRR28834951	western gull
SRR28834952	goat
SRR30202022	cattle
SRR30202023	cattle
SRR30202025	cattle
SRR30202026	cattle
SRR30202027	cattle
SRR30202028	cattle
SRR30202032	chicken
SRR30202033	chicken
SRR30202034	cat
SRR30202035	cattle
SRR30202036	cattle
SRR30202039	cattle
SRR30202040	chicken
SRR30202041	chicken
SRR30202042	chicken
SRR30202044	chicken
SRR30202045	chicken
SRR30202046	chicken
SRR30202047	chicken
SRR30202048	cattle
SRR29040269	cattle
SRR29040270	cattle
SRR29040271	cattle
SRR29040272	domestic-cat
SRR29040273	domestic-cat
SRR29040274	domestic-cat
SRR29040275	domestic-cat
SRR29040276	red fox
SRR29040277	red fox
SRR29040278	red fox
SRR29040279	red fox
SRR29040280	red fox
SRR29040281	comon-grackle
SRR29040282	hawk
SRR29040283	turkey
SRR29040284	cattle
SRR29040285	cattle
SRR29040286	domestic-cat
SRR29040287	cattle
SRR29040288	cattle
SRR29040289	cattle
SRR29040290	cattle
SRR29040291	cattle
SRR29040292	cattle
SRR29040293	cattle
SRR29040294	cattle
SRR29040295	cattle
SRR29040296	cattle
SRR29040297	domestic-cat
SRR29040298	cattle
SRR28980984	domestic cat
SRR28980985	cattle
SRR28980986	cattle
SRR28980987	cattle
SRR28980988	cattle
SRR28980989	cattle
SRR28980990	cattle
SRR28980991	cattle
SRR28980992	cattle
SRR28980993	cattle
SRR28980994	cattle
SRR28980995	cattle
SRR28980996	cattle
SRR28980997	cattle
SRR28980998	cattle
SRR28980999	cattle
SRR28981000	cattle
SRR28981001	cattle
